air_temp_set_1,relative_humidity_set_1,dew_point_temperature_set_1d,road_temp_set_1,wind_speed_set_1,label
-3.0,80.53333333,-5.922,-4.233333333,8.464,Snow
-3.2,84.46666667,-5.481333333,-3.873333333,8.464,Snow
-3.0,85.53333333,-5.114666667,-2.353333333,7.703333333,Snow
-3.0,86.66666667,-4.938666667,-0.613333333,6.017333333,Snow
-3.0,87.2,-4.857333333,0.313333333,4.925333333,Snow
-2.933333333,84.73333333,-5.177333333,1.306666667,5.184666667,Snow
-2.866666667,83.8,-5.261333333,1.006666667,6.11,Snow
-2.066666667,82.8,-4.637333333,2.166666667,6.63,Snow
-2.2,85.6,-4.320666667,2.606666667,6.352666667,Snow
-2.466666667,86.66666667,-4.414666667,2.106666667,6.628666667,Snow
-2.0,87.53333333,-3.82,2.7,6.777333333,Snow
-2.0,85.2,-4.192666667,1.833333333,8.352,Snow
-2.0,77.13333333,-5.52,2.046666667,9.592,Snow
-1.8,76.93333333,-5.361333333,1.533333333,9.554,Snow
-2.066666667,82.33333333,-4.717333333,-0.12,8.371333333,Snow
-3.0,87.53333333,-4.804666667,-0.56,5.814666667,Snow
-3.2,88.13333333,-4.908,-0.873333333,5.814,Snow
-4.0,88.8,-5.6,-1.58,5.354,Snow
-3.733333333,87.4,-5.548666667,-2.226666667,5.720666667,Snow
-4.0,87.73333333,-5.76,-2.513333333,5.886,Snow
-4.0,88.06666667,-5.71,-2.833333333,6.222,Snow
-4.0,87.86666667,-5.74,-3.706666667,6.539333333,Snow
-4.0,87.73333333,-5.76,-4.233333333,7.537333333,Snow
-4.0,85.46666667,-6.108,-5.08,8.203333333,Snow
-4.6,85.26666667,-6.729333333,-5.113333333,6.610666667,Snow
-4.866666667,84.53333333,-7.104,-5.373333333,6.240666667,Snow
-4.8,82.4,-7.372,-5.28,6.778,Snow
-5.0,82.33333333,-7.576666667,-4.993333333,6.630666667,Snow
-5.0,85.0,-7.162666667,-4.806666667,6.11,Snow
-5.0,86.0,-7.01,-4.886666667,5.519333333,Snow
-5.0,83.13333333,-7.452,-5.46,7.203333333,Snow
-5.0,81.66666667,-7.683333333,-5.626666667,8.038666667,Snow
-4.866666667,80.0,-7.829333333,-5.74,9.223333333,Snow
-4.933333333,79.6,-7.959333333,-5.933333333,10.03733333,Snow
-5.0,80.8,-7.825333333,-5.56,8.537333333,Snow
-5.0,82.93333333,-7.484666667,-5.52,7.630666667,Snow
-5.0,82.33333333,-7.576666667,-5.573333333,6.630666667,Snow
-5.0,83.2,-7.443333333,-5.373333333,4.832666667,Snow
-5.0,85.46666667,-7.09,-5.453333333,5.148666667,Snow
-5.0,85.0,-7.162,-5.66,5.205333333,Snow
-5.0,82.33333333,-7.576666667,-5.386666667,5.612666667,Snow
-5.0,82.0,-7.63,-5.473333333,6.091333333,Snow
-5.0,81.26666667,-7.747333333,-5.92,6.147333333,Snow
-5.0,81.26666667,-7.747333333,-6.486666667,5.907333333,Snow
-5.0,80.86666667,-7.812666667,-6.513333333,6.370666667,Snow
-5.0,80.33333333,-7.903333333,-6.946666667,7.018,Snow
-5.466666667,80.13333333,-8.39,-7.48,7.257333333,Snow
-6.0,80.26666667,-8.887333333,-7.546666667,6.999333333,Snow
-6.0,80.46666667,-8.855333333,-7.413333333,7.5,Snow
-6.0,80.26666667,-8.887333333,-7.266666667,8.054666667,Snow
-5.133333333,77.86666667,-8.443333333,-5.553333333,8.888666667,Snow
-4.333333333,75.33333333,-8.096666667,-3.886666667,10.29733333,Snow
-4.0,73.73333333,-8.05,-2.786666667,12.278,Snow
-4.0,72.13333333,-8.336,-1.96,12.38666667,Snow
-3.2,69.93333333,-7.971333333,-1.526666667,12.036,Snow
-3.0,67.53333333,-8.233333333,-1.086666667,11.90533333,Snow
-3.0,66.4,-8.454,-1.08,11.296,Snow
-3.0,65.26666667,-8.676666667,-1.08,11.112,Snow
-2.2,63.46666667,-8.277333333,-1.04,12.612,Snow
-2.0,62.0,-8.39,-1.006666667,12.36933333,Snow
-2.0,60.4,-8.732,-1.053333333,11.75933333,Snow
-2.0,59.73333333,-8.876,-1.326666667,9.536,Snow
-2.0,59.46666667,-8.932,-2.34,9.332666667,Snow
-2.466666667,60.4,-9.173333333,-3.373333333,7.889333333,Snow
-3.0,62.4,-9.257333333,-4.94,6.426,Snow
-3.866666667,65.53333333,-9.452,-6.606666667,7.871333333,Snow
-4.0,65.8,-9.526666667,-7.486666667,10.74,Snow
-4.0,63.0,-10.08333333,-8.173333333,13.37066667,Snow
-4.0,61.53333333,-10.38333333,-8.526666667,13.40666667,Snow
-4.0,61.53333333,-10.38333333,-8.833333333,13.40666667,Snow
-4.0,59.6,-10.79333333,-9.16,13.72333333,Snow
-4.0,58.73333333,-10.97866667,-9.506666667,12.92866667,Snow
-4.0,58.93333333,-10.93533333,-9.733333333,11.53666667,Snow
-4.0,57.4,-11.272,-9.98,11.33333333,Snow
-4.0,55.6,-11.672,-10.10666667,11.55666667,Snow
-4.0,55.13333333,-11.77933333,-10.41333333,11.75933333,Snow
-4.066666667,54.66666667,-11.94866667,-10.78666667,9.648,Snow
-4.0,53.2,-12.22533333,-11.30666667,7.295333333,Snow
-4.0,49.93333333,-13.02,-11.84666667,5.258,Snow
-4.0,46.2,-13.97733333,-11.93333333,3.815333333,Snow
-4.0,44.26666667,-14.49866667,-11.68666667,3.13,Snow
-4.333333333,42.66666667,-15.252,-11.48666667,2.817333333,Snow
-5.4,44.46666667,-15.72333333,-10.76,1.741333333,Snow
-5.0,41.8,-16.108,-10.84666667,5.129333333,Snow
-4.333333333,39.0,-16.36133333,-10.76,8.573333333,Snow
-3.933333333,37.06666667,-16.59266667,-10.51333333,9.500666667,Snow
-4.933333333,39.73333333,-16.68266667,-10.82,5.982,Snow
-4.666666667,38.26666667,-16.87666667,-11.21333333,6.63,Snow
-3.533333333,35.0,-16.95333333,-10.85333333,9.315333333,Snow
-3.866666667,37.13333333,-16.518,-10.36,8.297333333,Snow
-3.666666667,36.46666667,-16.576,-9.426666667,8.036666667,Snow
-3.266666667,36.2,-16.27933333,-8.62,9.908666667,Snow
-3.466666667,38.8,-15.626,-8.353333333,10.334,Snow
-4.0,39.53333333,-15.87533333,-8.94,10.33533333,Snow
-4.066666667,40.8,-15.552,-9.56,10.352,Snow
-4.533333333,40.8,-15.98266667,-10.03333333,10.056,Snow
-4.466666667,41.93333333,-15.584,-10.02666667,8.481333333,Snow
-4.0,41.33333333,-15.334,-8.926666667,7.0,Snow
-3.0,40.46666667,-14.69,-6.26,6.778666667,Snow
-2.466666667,40.46666667,-14.20733333,-4.213333333,7.444,Snow
-1.133333333,39.0,-13.462,-2.38,8.648,Snow
-0.6,40.73333333,-12.43933333,-0.473333333,9.555333333,Snow
0.0,40.93333333,-11.83266667,0.8,9.851333333,Slush
0.866666667,36.93333333,-12.34333333,1.066666667,10.036,Slush
0.8,33.93333333,-13.44533333,1.38,8.907333333,Slush
0.0,34.73333333,-13.87933333,-1.173333333,5.888,Snow
0.533333333,36.2,-12.88733333,-0.24,6.667333333,Snow
1.0,36.46666667,-12.38,0.373333333,8.833333333,Snow
0.666666667,37.4,-12.364,-1.126666667,11.88933333,Snow
0.266666667,38.0,-12.52333333,-2.006666667,13.00066667,Snow
0.6,38.46666667,-12.072,-2.413333333,11.44466667,Snow
0.933333333,37.6,-12.058,-1.613333333,9.722666667,Snow
0.466666667,39.0,-12.02,-2.793333333,9.5,Snow
-0.466666667,43.06666667,-11.63,-4.666666667,10.592,Snow
-1.0,44.4,-11.72533333,-5.733333333,12.44466667,Snow
-1.133333333,47.13333333,-11.098,-6.073333333,16.00133333,Snow
