air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,road_temp_set_1,visibility_set_1,dew_point_temperature_set_1d,rain,wet,snow,slush,fog,blowing_snow,black_ice
-3,85.53333333,7.703333333,-2.353333333,1.24,-5.114666667,0,0,0,0,0,0,0
-3,86.66666667,6.017333333,-0.613333333,1.24,-4.938666667,0,0,0,0,0,0,0
-3,87.2,4.925333333,0.313333333,1.24,-4.857333333,0,0,0,0,0,0,0
-2.933333333,84.73333333,5.184666667,1.306666667,1.24,-5.177333333,0,0,0,0,0,0,0
-2.866666667,83.8,6.11,1.006666667,1.157333333,-5.261333333,0,0,0,0,0,0,0
-2.066666667,82.8,6.63,2.166666667,1.24,-4.637333333,0,0,0,0,0,0,0
-2.2,85.6,6.352666667,2.606666667,1.23,-4.320666667,0,0,1,0,0,0,0
-2.466666667,86.66666667,6.628666667,2.106666667,1.100666667,-4.414666667,0,0,0,0,0,0,0
-2,87.53333333,6.777333333,2.7,1.13,-3.82,0,0,1,0,0,1,1
-2,85.2,8.352,1.833333333,1.132,-4.192666667,0,0,1,0,0,0,0
-2,77.13333333,9.592,2.046666667,1.24,-5.52,0,0,1,0,0,0,0
-1.8,76.93333333,9.554,1.533333333,1.24,-5.361333333,0,0,1,0,0,0,0
-2.066666667,82.33333333,8.371333333,-0.12,1.233333333,-4.717333333,0,0,0,0,0,0,0
-3,87.53333333,5.814666667,-0.56,1.24,-4.804666667,0,0,0,0,0,0,0
-3.2,88.13333333,5.814,-0.873333333,1.24,-4.908,0,0,0,0,0,0,0
-4,88.8,5.354,-1.58,1.24,-5.6,0,0,0,0,0,0,0
-3.733333333,87.4,5.720666667,-2.226666667,1.24,-5.548666667,0,0,0,0,0,0,0
-4,87.73333333,5.886,-2.513333333,1.24,-5.76,0,0,0,0,0,0,0
-4,88.06666667,6.222,-2.833333333,1.229333333,-5.71,0,0,0,0,0,0,0
-4,87.86666667,6.539333333,-3.706666667,1.24,-5.74,0,0,0,0,0,0,0
-4,87.73333333,7.537333333,-4.233333333,1.24,-5.76,0,0,0,0,0,0,0
-4,85.46666667,8.203333333,-5.08,1.24,-6.108,0,0,0,0,0,0,0
-4.6,85.26666667,6.610666667,-5.113333333,1.24,-6.729333333,0,0,0,0,0,0,0
-4.866666667,84.53333333,6.240666667,-5.373333333,1.24,-7.104,0,0,0,0,0,0,0
-4.8,82.4,6.778,-5.28,1.24,-7.372,0,0,0,0,0,0,0
-5,82.33333333,6.630666667,-4.993333333,1.24,-7.576666667,0,0,0,0,0,0,0
-5,85,6.11,-4.806666667,1.24,-7.162666667,0,0,0,0,0,0,0
-5,86,5.519333333,-4.886666667,1.24,-7.01,0,0,0,0,0,0,0
-5,83.13333333,7.203333333,-5.46,1.24,-7.452,0,0,0,0,0,0,1
-5,81.66666667,8.038666667,-5.626666667,1.24,-7.683333333,0,0,0,0,0,0,0
-4.866666667,80,9.223333333,-5.74,1.24,-7.829333333,0,0,0,0,0,0,0
-4.933333333,79.6,10.03733333,-5.933333333,1.24,-7.959333333,0,0,0,0,0,0,0
-5,80.8,8.537333333,-5.56,1.24,-7.825333333,0,0,0,0,0,0,0
-5,82.93333333,7.630666667,-5.52,1.213333333,-7.484666667,0,0,0,0,0,0,0
-5,82.33333333,6.630666667,-5.573333333,1.24,-7.576666667,0,0,0,0,0,0,0
-5,83.2,4.832666667,-5.373333333,1.24,-7.443333333,0,0,0,0,0,0,0
-5,85.46666667,5.148666667,-5.453333333,1.24,-7.09,0,0,0,0,0,0,1
-5,85,5.205333333,-5.66,1.24,-7.162,0,0,0,0,0,1,0
-5,82.33333333,5.612666667,-5.386666667,1.24,-7.576666667,0,0,0,0,0,0,0
-5,82,6.091333333,-5.473333333,1.24,-7.63,0,0,0,0,0,0,0
-5,81.26666667,6.147333333,-5.92,1.24,-7.747333333,0,0,1,0,0,0,0
-5,81.26666667,5.907333333,-6.486666667,1.24,-7.747333333,0,0,1,0,0,0,0
-5,80.86666667,6.370666667,-6.513333333,1.24,-7.812666667,0,0,1,0,0,0,0
-5,80.33333333,7.018,-6.946666667,1.24,-7.903333333,0,0,0,0,0,0,0
-5.466666667,80.13333333,7.257333333,-7.48,1.24,-8.39,0,0,0,0,0,0,0
-6,80.26666667,6.999333333,-7.546666667,1.24,-8.887333333,0,0,0,0,0,0,0
-6,80.46666667,7.5,-7.413333333,1.24,-8.855333333,0,1,0,0,0,1,0
